mineke_lemma_id	mineke_lemma	mineke_entry_number	mineke_image_filenames	mineke_max_page_number	meineke_source_text_version_id	meineke_source_variant	meineke_notes	meineke_text_hash	match_billerbeck_lemma_id	match_billerbeck_lemma	match_billerbeck_entry_number	match_billerbeck_id	match_similarity	match2_billerbeck_lemma_id	match2_billerbeck_lemma	match2_similarity	similarity_delta	normalized_mineke	normalized_match
135533	Ἀζάνοι		meineke_page_044.jpg	44	8700	ocr	OCR from image meineke_page_044.jpg (id=1216)	288bdd507516e8ce4ab919877ab288caa60c2afe5bf9e549e5b6b8d672ff05f1	61122	Ἀζανοί	72	Α72	1.000000	99806	Ἀριανοί	0.714286	0.285714	αζανοι	αζανοι
135535	Ὰδαρουπόλις	2	meineke_page_045.jpg	45	8702	ocr	OCR from image meineke_page_045.jpg (id=1217)	6ed332c75caec7e822368943028764372c197ca0e0f48aab5adc22d4f5927f9a	61106	Ἀδαρούπολις	56		1.000000	85693	Ἀνταιούπολις	0.750000	0.250000	αδαρουπολισ	αδαρουπολισ
135552	Ἀζανια	5	meineke_page_049.jpg	49	8718	ocr	OCR from image meineke_page_049.jpg (id=1221)	36ba59bb3ef317e42af651bb91a555821ef7f4836614ce4af12ae9f54802eaa5	61121	Ἀζανία	71	Α71	1.000000	61124	Ἁζηνιά	0.833333	0.166667	αζανια	αζανια
135556	Ἀζηνιά		meineke_page_051.jpg	51	8722	ocr	OCR from image meineke_page_051.jpg (id=1223)	032cfb692e14902d75faae3f95b5d84d1e3bf789ade5a1ec335f50344fe3d400	61124	Ἁζηνιά	74	Α74	1.000000	61121	Ἀζανία	0.833333	0.166667	αζηνια	αζηνια
135557	Ἀζιλις		meineke_page_051.jpg	51	8723	ocr	OCR from image meineke_page_051.jpg (id=1223)	fe91c31355c07ed8256285358975bcbaea183492c54a7f0c8b56ebd203cb12f6	61125	Ἄζιλις	75	Α75	1.000000	105868	Βάσιλις	0.714286	0.285714	αζιλισ	αζιλισ
135558	Ἀζωρος		meineke_page_051.jpg	51	8724	ocr	OCR from image meineke_page_051.jpg (id=1223)	eb0525805d9f0e3bc0729e8bdf5fa4729c77bc6a9fbfaec794e3c76798cfc55e	61126	Ἄζωρος	76	Α76	1.000000	121780	Γάζωρος	0.857143	0.142857	αζωροσ	αζωροσ
135571	Αιαμηνή		meineke_page_056.jpg	56	8737	ocr	OCR from image meineke_page_056.jpg (id=1228)	cd7dec1cd6e4c746abe68870d3c0ad0481355311012b23be0766c772fb0879ab	61137	Αἰαμηνή	87	Α87	1.000000	61108	Ἀδιαβηνή	0.750000	0.250000	αιαμηνη	αιαμηνη
135572	Αἰανή		meineke_page_056.jpg	56	8738	ocr	OCR from image meineke_page_056.jpg (id=1228)	5cc4a1a1726adebfd95f3fc74a9cc2689569be8831cd9fc04a8c0d7e3a2f1420	61138	Αἰανή	88	Α88	1.000000	61194	Αἴτνη	0.800000	0.200000	αιανη	αιανη
135573	Αἰανῖτις		meineke_page_056.jpg	56	8739	ocr	OCR from image meineke_page_056.jpg (id=1228)	05b81864312b656a46078260d6bd7037e6d7b89048a9c0f8a8e9f82dc5971343	61139	Αἰανῖτις	89	Α89	1.000000	61053	Ἀβαντίς	0.750000	0.250000	αιανιτισ	αιανιτισ
135574	Αἰβοῦδαι		meineke_page_056.jpg	56	8740	ocr	OCR from image meineke_page_056.jpg (id=1228)	6148a1b9b245140a0a1a20d3cc093773940d9c08de29b68672b00a5f545cb4ce	61140	Αἰβοῦδαι	90	Α90	1.000000	61141	Αἴβουρα	0.750000	0.250000	αιβουδαι	αιβουδαι
